HUC12,LATITUDE,LONGITUDE,Number,fixed-LATITUDE,fixed-LONGITUDE
120401040303,2978037,-956295,1001,29.780370712280277,-95.62950134277344
140801011604,367452,-1074455,1003,36.74520111083984,-107.44550323486328
41402011508,430611,-760819,1005,43.06110000610352,-76.08190155029297
